time;status;gx;gy;gz;ax;ay;az
2022-12-01T08:35:48.395;77;-0.15428602;-0.09282769;0.17090929;-6.88308716;-0.00305176;7.57598877
2022-12-01T08:35:48.405;77;-0.18815104;-0.12364366;0.23829210;-6.89453125;0.01693726;7.50946045
2022-12-01T08:35:48.415;77;-0.21469184;-0.15583767;0.29563802;-6.94259644;-0.00595093;7.40921021
2022-12-01T08:35:48.425;77;-0.22311198;-0.20319010;0.35557726;-7.05688477;-0.00717163;7.31521606
2022-12-01T08:35:48.435;77;-0.21457248;-0.26053602;0.41425781;-7.08663940;0.10513306;7.20291138
2022-12-01T08:35:48.445;77;-0.19551866;-0.33062066;0.48511285;-7.02621460;0.20965576;7.18948364
2022-12-01T08:35:48.455;77;-0.15796441;-0.42515191;0.55152995;-6.74743652;0.45150757;6.97967529
2022-12-01T08:35:48.465;77;-0.10741102;-0.52888455;0.60211589;-6.67251587;0.59692383;6.94641113
2022-12-01T08:35:48.475;77;-0.05673828;-0.60008681;0.64280599;-6.62414551;0.64620972;7.06878662
2022-12-01T08:35:48.485;77;-0.00549045;-0.66715495;0.68450521;-6.44348145;0.57418823;7.25463867
2022-12-01T08:35:48.495;77;0.03937717;-0.72243924;0.73360460;-6.26464844;0.48782349;7.46307373
2022-12-01T08:35:48.505;77;0.08556858;-0.75070530;0.79144965;-6.21078491;0.58715820;7.58285522
2022-12-01T08:35:48.515;77;0.14703776;-0.77468533;0.83108724;-6.13281250;0.85006714;7.58865356
2022-12-01T08:35:48.525;77;0.20954861;-0.81171875;0.84330512;-6.06201172;0.84091187;7.54333496
2022-12-01T08:35:48.535;77;0.27342665;-0.85525174;0.86750217;-6.18057251;0.69168091;7.55279541
2022-12-01T08:35:48.545;77;0.31603733;-0.88285590;0.94201389;-6.28173828;0.32958984;7.64373779
2022-12-01T08:35:48.555;77;0.34811198;-0.89543186;1.04658203;-6.27716064;0.04364014;7.83538818
2022-12-01T08:35:48.565;77;0.37979601;-0.89188368;1.18888889;-6.09085083;-0.28076172;8.19335938
2022-12-01T08:35:48.575;77;0.41342231;-0.85026042;1.40307075;-5.75653076;-0.61508179;8.77944946
2022-12-01T08:35:48.585;77;0.45735677;-0.80203993;1.62491319;-5.93307495;-0.51055908;8.96392822
2022-12-01T08:35:48.595;77;0.49372830;-0.73793403;1.85558811;-5.87982178;-0.62744141;9.42230225
2022-12-01T08:35:48.605;77;0.52769097;-0.66773003;2.08847656;-5.91857910;-0.49591064;9.62783813
2022-12-01T08:35:48.615;77;0.56845703;-0.60399306;2.29559462;-5.93963623;-0.21118164;9.44564819
2022-12-01T08:35:48.625;77;0.62648655;-0.58327908;2.45703125;-5.97412109;0.28610229;9.09378052
2022-12-01T08:35:48.635;77;0.70244141;-0.61759983;2.56647135;-5.96023560;0.79330444;8.73413086
2022-12-01T08:35:48.645;77;0.79801432;-0.71436632;2.67252604;-5.78994751;1.19720459;8.41445923
2022-12-01T08:35:48.655;77;0.87635634;-0.81138238;2.74200304;-5.68969727;1.70883179;8.34320068
2022-12-01T08:35:48.665;77;0.96252170;-0.87075738;2.75614149;-5.49621582;2.23617554;8.35861206
2022-12-01T08:35:48.675;77;1.05653212;-0.94011502;2.73525391;-5.23315430;2.64175415;8.31604004
2022-12-01T08:35:48.685;77;1.14956597;-1.00537109;2.71502821;-4.94338989;2.96829224;8.29330444
